Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference
Norwich,2020/2021,Championship,46,14,6,3,39,15,15,4,4,36,21,29,10,7,75,36,97,39
Watford,2020/2021,Championship,46,19,2,2,44,12,8,8,7,19,18,27,10,9,63,30,91,33
Brentford,2020/2021,Championship,46,12,9,2,39,20,12,6,5,40,22,24,15,7,79,42,87,37
Man City,2020/2021,Premier League,38,13,2,4,43,17,14,3,2,40,15,27,5,6,83,32,86,51
Swansea,2020/2021,Championship,46,12,6,5,27,16,11,5,7,29,23,23,11,12,56,39,80,17
Barnsley,2020/2021,Championship,46,12,6,5,30,22,11,3,9,28,28,23,9,14,58,50,78,8
Bournemouth,2020/2021,Championship,46,13,3,7,40,24,9,8,6,33,22,22,11,13,73,46,77,27
Man United,2020/2021,Premier League,38,9,4,6,38,28,12,7,0,35,16,21,11,6,73,44,74,29
Reading,2020/2021,Championship,46,12,4,7,37,27,7,9,7,25,27,19,13,14,62,54,70,8
Liverpool,2020/2021,Premier League,38,10,3,6,29,20,10,6,3,39,22,20,9,9,68,42,69,26
Cardiff,2020/2021,Championship,46,8,6,9,37,26,10,8,5,29,23,18,14,14,66,49,68,17
QPR,2020/2021,Championship,46,11,4,8,32,27,8,7,8,25,28,19,11,16,57,55,68,2
Chelsea,2020/2021,Premier League,38,9,6,4,31,18,10,4,5,27,18,19,10,9,58,36,67,22
Leicester,2020/2021,Premier League,38,9,1,9,34,30,11,5,3,34,20,20,6,12,68,50,66,18
West Ham,2020/2021,Premier League,38,10,4,5,32,22,9,4,6,30,25,19,8,11,62,47,65,15
Middlesbrough,2020/2021,Championship,46,11,4,8,30,25,7,6,10,25,28,18,10,18,55,53,64,2
Tottenham,2020/2021,Premier League,38,10,3,6,35,20,8,5,6,33,25,18,8,12,68,45,62,23
Luton,2020/2021,Championship,46,8,9,6,25,23,9,2,12,16,29,17,11,18,41,52,62,-11
Millwall,2020/2021,Championship,46,7,10,6,24,24,8,7,8,23,28,15,17,14,47,52,62,-5
Arsenal,2020/2021,Premier League,38,8,4,7,24,21,10,3,6,31,18,18,7,13,55,39,61,16
Preston,2020/2021,Championship,46,7,5,11,21,24,11,2,10,28,32,18,7,21,49,56,61,-7
Stoke,2020/2021,Championship,46,9,5,9,29,28,6,10,7,21,24,15,15,16,50,52,60,-2
Everton,2020/2021,Premier League,38,6,4,9,24,28,11,4,4,23,20,17,8,13,47,48,59,-1
Leeds,2020/2021,Premier League,38,8,5,6,28,21,10,0,9,34,33,18,5,15,62,54,59,8
Blackburn,2020/2021,Championship,46,9,7,7,37,28,6,5,12,28,26,15,12,19,65,54,57,11
Aston Villa,2020/2021,Premier League,38,7,4,8,29,27,9,3,7,26,19,16,7,15,55,46,55,9
Coventry,2020/2021,Championship,46,10,7,6,30,22,4,6,13,19,39,14,13,19,49,61,55,-12
Nott'm Forest,2020/2021,Championship,46,6,8,9,21,24,6,8,9,16,21,12,16,18,37,45,52,-8
Birmingham,2020/2021,Championship,46,6,4,13,18,37,7,9,7,19,24,13,13,20,37,61,52,-24
Bristol City,2020/2021,Championship,46,7,3,13,18,30,8,3,12,28,38,15,6,25,46,68,51,-22
Huddersfield,2020/2021,Championship,46,8,7,8,28,23,4,6,13,22,48,12,13,21,50,71,49,-21
Sheffield Weds,2020/2021,Championship,46,8,8,7,22,17,4,3,16,18,44,12,11,23,40,61,47,-21
Newcastle,2020/2021,Premier League,38,6,5,8,26,33,6,4,9,20,29,12,9,17,46,62,45,-16
Wolves,2020/2021,Premier League,38,7,4,8,21,25,5,5,9,15,27,12,9,17,36,52,45,-16
Crystal Palace,2020/2021,Premier League,38,6,5,8,20,32,6,3,10,21,34,12,8,18,41,66,44,-25
Derby,2020/2021,Championship,46,6,7,10,20,26,5,4,14,16,32,11,11,24,36,58,44,-22
Southampton,2020/2021,Premier League,38,8,3,8,28,25,4,4,11,19,43,12,7,19,47,68,43,-21
Wycombe,2020/2021,Championship,46,7,5,11,17,28,4,5,14,22,41,11,10,25,39,69,43,-30
Rotherham,2020/2021,Championship,46,5,4,14,26,35,6,5,12,18,25,11,9,26,44,60,42,-16
Brighton,2020/2021,Premier League,38,4,9,6,22,22,5,5,9,18,24,9,14,15,40,46,41,-6
Burnley,2020/2021,Premier League,38,4,6,9,14,27,6,3,10,19,28,10,9,19,33,55,39,-22
Fulham,2020/2021,Premier League,38,2,4,13,9,28,3,9,7,18,25,5,13,20,27,53,28,-26
West Brom,2020/2021,Premier League,38,3,6,10,15,39,2,5,12,20,37,5,11,22,35,76,26,-41
Sheffield United,2020/2021,Premier League,38,5,1,13,12,27,2,1,16,8,36,7,2,29,20,63,23,-43
Man City,2021/2022,Premier League,38,15,2,2,58,15,14,4,1,41,11,29,6,3,99,26,93,73
Liverpool,2021/2022,Premier League,38,15,4,0,49,9,13,4,2,45,17,28,8,2,94,26,92,68
Fulham,2021/2022,Championship,46,14,4,5,56,20,13,5,5,50,23,27,9,10,106,43,90,63
Bournemouth,2021/2022,Championship,46,13,7,3,41,21,12,6,5,33,18,25,13,8,74,39,88,35
Huddersfield,2021/2022,Championship,47,13,6,5,35,24,10,7,6,29,24,23,13,11,64,48,82,16
Nott'm Forest,2021/2022,Championship,46,13,4,6,43,22,10,7,6,30,18,23,11,12,73,40,80,33
Luton,2021/2022,Championship,47,12,8,4,37,22,9,5,9,26,33,21,13,13,63,55,76,8
Sheffield United,2021/2022,Championship,46,13,5,5,38,15,8,7,8,25,30,21,12,13,63,45,75,18
Chelsea,2021/2022,Premier League,38,9,7,3,37,22,12,4,3,39,11,21,11,6,76,33,74,43
Blackburn,2021/2022,Championship,47,13,5,6,37,26,7,7,9,23,24,20,12,15,60,50,72,10
Millwall,2021/2022,Championship,47,14,6,4,34,16,5,9,9,21,29,19,15,13,55,45,72,10
Tottenham,2021/2022,Premier League,38,13,1,5,38,19,9,4,6,31,21,22,5,11,69,40,71,29
Middlesbrough,2021/2022,Championship,47,14,3,7,35,22,6,8,9,25,29,20,11,16,60,51,71,9
Arsenal,2021/2022,Premier League,38,13,2,4,35,17,9,1,9,26,31,22,3,13,61,48,69,13
West Brom,2021/2022,Championship,47,12,8,3,33,16,6,6,12,20,30,18,14,15,53,46,68,7
QPR,2021/2022,Championship,47,10,6,7,30,25,9,3,12,30,35,19,9,19,60,60,66,0
Preston,2021/2022,Championship,47,9,10,4,33,28,7,7,10,19,28,16,17,14,52,56,65,-4
Coventry,2021/2022,Championship,47,10,5,8,32,26,7,9,8,29,34,17,14,16,61,60,65,1
Blackpool,2021/2022,Championship,47,12,3,9,30,26,5,9,9,25,32,17,12,18,55,58,63,-3
Stoke,2021/2022,Championship,47,10,5,8,30,23,7,6,11,27,31,17,11,19,57,54,62,3
Swansea,2021/2022,Championship,47,9,8,6,30,27,7,6,11,29,42,16,14,17,59,69,62,-10
Man United,2021/2022,Premier League,38,10,5,4,32,22,6,5,8,25,35,16,10,12,57,57,58,0
West Ham,2021/2022,Premier League,38,9,5,5,33,26,7,3,9,27,25,16,8,14,60,51,56,9
Cardiff,2021/2022,Championship,47,8,4,12,23,29,8,4,11,28,39,16,8,23,51,68,56,-17
Bristol City,2021/2022,Championship,47,8,8,7,33,29,7,2,15,30,50,15,10,22,63,79,55,-16
Derby,2021/2022,Championship,46,11,7,5,30,22,3,6,14,15,31,14,13,19,45,53,55,-8
Hull,2021/2022,Championship,47,8,4,12,24,29,7,5,11,19,26,15,9,23,43,55,54,-12
Leicester,2021/2022,Premier League,38,10,4,5,34,23,4,6,9,28,36,14,10,14,62,59,52,3
Brighton,2021/2022,Premier League,38,5,7,7,19,23,7,8,4,23,21,12,15,11,42,44,51,-2
Wolves,2021/2022,Premier League,38,7,3,9,20,25,8,3,8,18,18,15,6,17,38,43,51,-5
Newcastle,2021/2022,Premier League,38,8,6,5,26,27,5,4,10,18,35,13,10,15,44,62,49,-18
Crystal Palace,2021/2022,Premier League,38,7,8,4,27,17,4,7,8,23,29,11,15,12,50,46,48,4
Birmingham,2021/2022,Championship,47,7,6,10,27,33,4,9,11,23,42,11,15,21,50,75,48,-25
Reading,2021/2022,Championship,47,7,5,11,33,44,6,3,15,21,44,13,8,26,54,88,47,-34
Brentford,2021/2022,Premier League,38,7,3,9,22,21,6,4,9,26,35,13,7,18,48,56,46,-8
Aston Villa,2021/2022,Premier League,38,6,5,8,29,29,7,1,11,23,25,13,6,19,52,54,45,-2
Southampton,2021/2022,Premier League,38,6,7,6,23,24,3,6,10,20,43,9,13,16,43,67,40,-24
Everton,2021/2022,Premier League,38,9,2,8,27,25,2,4,13,16,41,11,6,21,43,66,39,-23
Burnley,2021/2022,Premier League,39,5,6,8,18,25,3,8,9,17,28,8,14,17,35,53,38,-18
Leeds,2021/2022,Premier League,38,4,6,9,19,38,5,5,9,23,41,9,11,18,42,79,38,-37
Peterboro,2021/2022,Championship,46,6,7,10,27,33,3,3,17,16,54,9,10,27,43,87,37,-44
Barnsley,2021/2022,Championship,46,5,7,11,18,29,1,5,17,15,44,6,12,28,33,73,30,-40
Watford,2021/2022,Premier League,38,2,2,15,17,46,4,3,12,17,31,6,5,27,34,77,23,-43
Norwich,2021/2022,Premier League,39,3,3,13,12,43,2,4,14,11,42,5,7,27,23,85,22,-62
Sunderland,2021/2022,Championship,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
Rotherham,2021/2022,Championship,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
Wigan,2021/2022,Championship,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Burnley,2022/2023,Championship,45,16,6,1,49,15,12,8,2,37,20,28,14,3,86,35,98,51
Sheffield United,2022/2023,Championship,46,16,3,4,47,19,12,4,7,26,20,28,7,11,73,39,91,34
Man City,2022/2023,Premier League,38,17,1,1,60,17,11,4,4,34,16,28,5,5,94,33,89,61
Arsenal,2022/2023,Premier League,38,14,3,2,53,25,12,3,4,35,18,26,6,6,88,43,84,45
Luton,2022/2023,Championship,45,10,8,4,31,21,11,8,4,26,18,21,16,8,57,39,79,18
Man United,2022/2023,Premier League,38,15,3,1,36,10,8,3,8,22,33,23,6,9,58,43,75,15
Middlesbrough,2022/2023,Championship,45,13,6,3,45,18,9,2,12,38,37,22,8,15,83,55,74,28
Newcastle,2022/2023,Premier League,38,11,6,2,36,14,8,8,3,32,19,19,14,5,68,33,71,35
Coventry,2022/2023,Championship,45,11,7,5,30,24,7,8,7,27,21,18,15,12,57,45,69,12
Sunderland,2022/2023,Championship,45,7,8,7,32,32,11,6,6,35,22,18,14,13,67,54,68,13
Liverpool,2022/2023,Premier League,38,13,5,1,46,17,6,5,8,29,30,19,10,9,75,47,67,28
Blackburn,2022/2023,Championship,45,12,4,6,26,19,7,5,11,25,35,19,9,17,51,54,66,-3
West Brom,2022/2023,Championship,45,11,7,5,31,20,7,4,11,27,32,18,11,16,58,52,65,6
Millwall,2022/2023,Championship,45,10,6,6,32,22,8,5,10,23,28,18,11,16,55,50,65,5
Swansea,2022/2023,Championship,45,11,4,8,38,32,7,7,8,29,31,18,11,16,67,63,65,4
Watford,2022/2023,Championship,46,11,6,6,35,23,5,9,9,21,30,16,15,15,56,53,63,3
Norwich,2022/2023,Championship,45,8,5,10,27,27,9,6,7,30,26,17,11,17,57,53,62,4
Brighton,2022/2023,Premier League,38,10,4,5,37,21,8,4,7,35,32,18,8,12,72,53,62,19
Preston,2022/2023,Championship,45,7,7,9,20,28,10,4,8,25,31,17,11,17,45,59,62,-14
Aston Villa,2022/2023,Premier League,38,12,2,5,33,21,6,5,8,18,25,18,7,13,51,46,61,5
Tottenham,2022/2023,Premier League,38,12,1,6,37,25,6,5,8,33,38,18,6,14,70,63,60,7
Brentford,2022/2023,Premier League,38,10,7,2,35,18,5,7,7,23,28,15,14,9,58,46,59,12
Bristol City,2022/2023,Championship,45,9,7,7,30,24,6,7,9,24,30,15,14,16,54,54,59,0
Hull,2022/2023,Championship,45,8,6,8,22,26,5,10,8,27,34,13,16,16,49,60,55,-11
Stoke,2022/2023,Championship,45,6,5,12,25,27,8,6,8,30,25,14,11,20,55,52,53,3
Huddersfield,2022/2023,Championship,45,9,6,7,26,24,5,5,13,21,37,14,11,20,47,61,53,-14
Fulham,2022/2023,Premier League,38,8,5,6,31,29,7,2,10,24,24,15,7,16,55,53,52,2
Birmingham,2022/2023,Championship,45,7,6,10,24,24,7,4,11,23,34,14,10,21,47,58,52,-11
QPR,2022/2023,Championship,45,6,5,12,21,35,7,6,9,23,35,13,11,21,44,70,50,-26
Reading,2022/2023,Championship,45,10,8,5,31,24,3,3,16,15,43,13,11,21,46,67,50,-21
Rotherham,2022/2023,Championship,45,9,5,8,36,29,2,11,10,12,30,11,16,18,48,59,49,-11
Cardiff,2022/2023,Championship,45,5,7,10,19,24,7,3,13,21,34,12,10,23,40,58,46,-18
Crystal Palace,2022/2023,Premier League,38,7,7,5,21,23,4,5,10,19,26,11,12,15,40,49,45,-9
Chelsea,2022/2023,Premier League,38,6,7,6,20,19,5,4,10,18,28,11,11,16,38,47,44,-9
Wigan,2022/2023,Championship,45,5,6,11,17,35,5,8,10,21,30,10,14,21,38,65,44,-27
Wolves,2022/2023,Premier League,38,9,3,7,19,20,2,5,12,12,38,11,8,19,31,58,41,-27
Blackpool,2022/2023,Championship,45,5,6,11,27,34,5,5,13,20,38,10,11,24,47,72,41,-25
West Ham,2022/2023,Premier League,38,8,4,7,26,24,3,3,13,16,31,11,7,20,42,55,40,-13
Bournemouth,2022/2023,Premier League,38,6,4,9,20,28,5,2,12,17,43,11,6,21,37,71,39,-34
Nott'm Forest,2022/2023,Premier League,38,8,6,5,27,24,1,5,13,11,44,9,11,18,38,68,38,-30
Everton,2022/2023,Premier League,38,6,3,10,16,27,2,9,8,18,30,8,12,18,34,57,36,-23
Leicester,2022/2023,Premier League,38,5,4,10,23,27,4,3,12,28,41,9,7,22,51,68,34,-17
Leeds,2022/2023,Premier League,38,5,7,7,26,37,2,3,14,22,41,7,10,21,48,78,31,-30
Southampton,2022/2023,Premier League,38,2,5,12,19,37,4,2,13,17,36,6,7,25,36,73,25,-37
Leicester,2023/2024,Championship,46,17,1,5,47,18,14,3,6,42,23,31,4,11,89,41,97,48
Ipswich,2023/2024,Championship,46,16,6,1,59,32,12,6,5,33,25,28,12,6,92,57,96,35
Man City,2023/2024,Premier League,38,14,5,0,51,16,14,2,3,45,18,28,7,3,96,34,91,62
Leeds,2023/2024,Championship,46,16,5,2,45,16,11,4,8,36,27,27,9,10,81,43,90,38
Arsenal,2023/2024,Premier League,38,15,2,2,48,16,13,3,3,43,13,28,5,5,91,29,89,62
Southampton,2023/2024,Championship,46,15,3,5,54,29,11,6,6,33,34,26,9,11,87,63,87,24
Liverpool,2023/2024,Premier League,38,15,3,1,49,17,9,7,3,37,24,24,10,4,86,41,82,45
West Brom,2023/2024,Championship,46,15,4,4,38,17,6,8,9,32,30,21,12,13,70,47,75,23
Norwich,2023/2024,Championship,46,15,4,4,43,22,6,6,11,36,42,21,10,15,79,64,73,15
Hull,2023/2024,Championship,46,8,9,6,35,27,11,4,8,33,33,19,13,14,68,60,70,8
Middlesbrough,2023/2024,Championship,46,10,4,9,30,26,10,5,8,41,36,20,9,17,71,62,69,9
Aston Villa,2023/2024,Premier League,38,12,4,3,48,28,8,4,7,28,33,20,8,10,76,61,68,15
Tottenham,2023/2024,Premier League,38,13,0,6,38,27,7,6,6,36,34,20,6,12,74,61,66,13
Coventry,2023/2024,Championship,46,9,8,6,36,27,8,5,10,34,32,17,13,16,70,59,64,11
Chelsea,2023/2024,Premier League,38,11,4,4,44,26,7,5,7,33,37,18,9,11,77,63,63,14
Preston,2023/2024,Championship,46,11,4,8,35,36,7,5,11,21,31,18,9,19,56,67,63,-11
Bristol City,2023/2024,Championship,46,11,4,8,31,21,6,7,10,22,30,17,11,18,53,51,62,2
Cardiff,2023/2024,Championship,46,10,3,10,27,32,9,2,12,26,38,19,5,22,53,70,62,-17
Man United,2023/2024,Premier League,38,10,3,6,31,28,8,3,8,26,30,18,6,14,57,58,60,-1
Newcastle,2023/2024,Premier League,38,12,4,3,49,22,6,2,11,36,40,18,6,14,85,62,60,23
Millwall,2023/2024,Championship,46,9,5,9,22,29,7,6,10,23,26,16,11,19,45,55,59,-10
Swansea,2023/2024,Championship,46,8,5,10,26,28,7,7,9,33,37,15,12,19,59,65,57,-6
Watford,2023/2024,Championship,46,6,9,8,32,28,7,8,8,29,33,13,17,16,61,61,56,0
QPR,2023/2024,Championship,46,7,6,10,28,32,8,5,10,19,26,15,11,20,47,58,56,-11
Stoke,2023/2024,Championship,46,8,6,9,24,27,7,5,11,25,33,15,11,20,49,60,56,-11
Sunderland,2023/2024,Championship,46,10,2,11,30,30,6,6,11,22,24,16,8,22,52,54,56,-2
Blackburn,2023/2024,Championship,46,6,7,10,27,34,8,4,11,33,40,14,11,21,60,74,53,-14
Sheffield Weds,2023/2024,Championship,46,8,7,8,27,27,7,1,15,17,41,15,8,23,44,68,53,-24
West Ham,2023/2024,Premier League,38,7,8,4,31,28,7,2,10,29,46,14,10,14,60,74,52,-14
Plymouth,2023/2024,Championship,46,10,5,8,41,35,3,7,13,18,35,13,12,21,59,70,51,-11
Birmingham,2023/2024,Championship,46,10,6,7,31,25,3,5,15,19,40,13,11,22,50,65,50,-15
Crystal Palace,2023/2024,Premier League,38,8,4,7,37,26,5,6,8,20,32,13,10,15,57,58,49,-1
Everton,2023/2024,Premier League,38,8,4,7,22,18,5,5,9,18,33,13,9,16,40,51,48,-11
Brighton,2023/2024,Premier League,38,8,6,5,30,27,4,6,9,25,35,12,12,14,55,62,48,-7
Bournemouth,2023/2024,Premier League,38,7,6,6,27,28,6,3,10,27,39,13,9,16,54,67,48,-13
Fulham,2023/2024,Premier League,38,9,2,8,31,24,4,6,9,24,37,13,8,17,55,61,47,-6
Wolves,2023/2024,Premier League,38,8,3,8,26,30,5,4,10,24,35,13,7,18,50,65,46,-15
Huddersfield,2023/2024,Championship,46,6,8,9,26,36,3,10,10,22,41,9,18,19,48,77,45,-29
Brentford,2023/2024,Premier League,38,5,7,7,29,34,5,2,12,27,31,10,9,19,56,65,39,-9
Nott'm Forest,2023/2024,Premier League,38,5,5,9,27,30,4,4,11,22,37,9,9,20,49,67,36,-18
Rotherham,2023/2024,Championship,46,5,8,10,24,28,0,4,19,13,61,5,12,29,37,89,27,-52
Luton,2023/2024,Premier League,38,4,4,11,28,37,2,4,13,24,48,6,8,24,52,85,26,-33
Burnley,2023/2024,Premier League,38,2,4,13,19,43,3,5,11,22,35,5,9,24,41,78,24,-37
Sheffield United,2023/2024,Premier League,38,2,4,13,19,57,1,3,15,16,47,3,7,28,35,104,16,-69
Burnley,2024/2025,Championship,46,14,9,0,35,8,14,7,2,34,8,28,16,2,69,16,100,53
Leeds,2024/2025,Championship,46,18,4,1,61,12,11,9,3,34,18,29,13,4,95,30,100,65
Sheffield United,2024/2025,Championship,46,15,4,4,33,17,13,4,6,30,19,28,8,10,63,36,92,27
Liverpool,2024/2025,Premier League,38,14,4,1,42,16,11,5,3,44,25,25,9,4,86,41,84,45
Sunderland,2024/2025,Championship,46,12,7,4,32,18,9,6,8,26,26,21,13,12,58,44,76,14
Arsenal,2024/2025,Premier League,38,11,6,2,35,17,9,8,2,34,17,20,14,4,69,34,74,35
Man City,2024/2025,Premier League,38,13,3,3,43,23,8,5,6,29,21,21,8,9,72,44,71,28
Chelsea,2024/2025,Premier League,38,12,5,2,35,18,8,4,7,29,25,20,9,9,64,43,69,21
Coventry,2024/2025,Championship,46,14,3,6,40,24,6,6,11,24,34,20,9,17,64,58,69,6
Bristol City,2024/2025,Championship,46,13,7,3,36,20,4,10,9,23,35,17,17,12,59,55,68,4
Newcastle,2024/2025,Premier League,38,12,2,5,40,20,8,4,7,28,27,20,6,12,68,47,66,21
Aston Villa,2024/2025,Premier League,38,11,7,1,34,20,8,2,9,24,31,19,9,10,58,51,66,7
Blackburn,2024/2025,Championship,46,12,4,7,34,23,7,5,11,19,25,19,9,18,53,48,66,5
Millwall,2024/2025,Championship,46,12,4,7,27,19,6,8,9,20,30,18,12,16,47,49,66,-2
Nott'm Forest,2024/2025,Premier League,38,9,5,5,26,16,10,3,6,32,30,19,8,11,58,46,65,12
West Brom,2024/2025,Championship,46,11,8,4,33,20,4,11,8,24,27,15,19,12,57,47,64,10
Middlesbrough,2024/2025,Championship,46,11,6,6,31,23,7,4,12,33,33,18,10,18,64,56,64,8
Brighton,2024/2025,Premier League,38,8,8,3,30,26,8,5,6,36,33,16,13,9,66,59,61,7
Swansea,2024/2025,Championship,46,10,6,7,33,24,7,4,12,18,32,17,10,19,51,56,61,-5
Sheffield Weds,2024/2025,Championship,46,6,8,9,30,32,9,5,9,30,37,15,13,18,60,69,58,-9
Watford,2024/2025,Championship,46,12,4,7,27,22,4,5,14,26,39,16,9,21,53,61,57,-8
Norwich,2024/2025,Championship,46,10,8,5,52,34,4,7,12,19,34,14,15,17,71,68,57,3
Brentford,2024/2025,Premier League,38,9,4,6,40,35,7,4,8,26,22,16,8,14,66,57,56,9
Bournemouth,2024/2025,Premier League,38,8,4,7,23,16,7,7,5,35,30,15,11,12,58,46,56,12
QPR,2024/2025,Championship,46,7,8,8,31,34,7,6,10,22,29,14,14,18,53,63,56,-10
Fulham,2024/2025,Premier League,38,7,5,7,27,30,8,4,7,27,24,15,9,14,54,54,54,0
Portsmouth,2024/2025,Championship,46,11,7,5,33,21,3,5,15,25,50,14,12,20,58,71,54,-13
Crystal Palace,2024/2025,Premier League,38,6,7,6,24,26,7,7,5,27,25,13,14,11,51,51,53,0
Oxford,2024/2025,Championship,46,11,5,7,31,29,2,9,12,18,36,13,14,19,49,65,53,-16
Stoke,2024/2025,Championship,46,8,9,6,29,25,4,6,13,16,37,12,15,19,45,62,51,-17
Derby,2024/2025,Championship,46,9,5,9,25,18,4,6,13,23,38,13,11,22,48,56,50,-8
Preston,2024/2025,Championship,46,7,12,4,26,22,3,8,12,22,37,10,20,16,48,59,50,-11
Luton,2024/2025,Championship,46,9,7,7,25,22,4,3,16,20,47,13,10,23,45,69,49,-24
Hull,2024/2025,Championship,46,5,8,10,24,28,7,5,11,20,26,12,13,21,44,54,49,-10
Everton,2024/2025,Premier League,38,5,9,5,26,23,6,6,7,16,21,11,15,12,42,44,48,-2
Plymouth,2024/2025,Championship,46,9,7,7,40,39,2,6,15,11,49,11,13,22,51,88,46,-37
Cardiff,2024/2025,Championship,46,7,6,10,24,27,2,11,10,24,46,9,17,20,48,73,44,-25
West Ham,2024/2025,Premier League,38,5,5,9,23,34,6,5,8,23,28,11,10,17,46,62,43,-16
Man United,2024/2025,Premier League,38,7,3,9,23,28,4,6,9,21,26,11,9,18,44,54,42,-10
Wolves,2024/2025,Premier League,38,6,3,10,27,32,6,3,10,27,37,12,6,20,54,69,42,-15
Tottenham,2024/2025,Premier League,38,6,3,10,35,35,5,2,12,29,30,11,5,22,64,65,38,-1
Leicester,2024/2025,Premier League,38,4,3,12,15,34,2,4,13,18,46,6,7,25,33,80,25,-47
Ipswich,2024/2025,Premier League,38,1,4,14,14,44,3,6,10,22,38,4,10,24,36,82,22,-46
Southampton,2024/2025,Premier League,38,1,3,15,13,47,1,3,15,13,39,2,6,30,26,86,12,-60
